,college,program_name,course_title,program_category,course_description,city,state,zip_code,country,residential,application,transcript,letter_of_recommendation,counselor_report,test_scores,toefl_or_english_exam,app_fee,app_date,enrollment_fee,fees,credit_offerred,tuition,start_date,end_date,eligibility_requirements,grades,link
10,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Chemistry (NCAA Approved)
",,"Explore topics typically found in a first-year introductory college chemistry course and advance your understanding of high school chemistry concepts as you prepare for the AP Chemistry exam. This course includes a laboratory component designed to meet College Board® standards and provides a solid foundation for the AP Chemistry exam, which you’ll prepare for using online lectures, readings, laboratory exercises, problem sets, and exams that mirror the AP format. Major course themes include thermochemistry, equilibrium, kinetics, and electrochemistry, among others. Your knowledge will be assessed through problem sets, tests, and exams modeled after the AP exam format for practice. Though there are no synchronous class meetings for this course, you can schedule one-on-one virtual meetings directly with your instructor to review material.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"1,810",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Algebra I",9-12,https://cty.jhu.edu//programs/online/courses/ap-chemistry-ncaa-approved-apch
11,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Chinese Language and Culture (Intensive, NCAA Approved)
",,"Take on a college-level challenge as you cover topics typically found in a university course while preparing for the AP Chinese Language and Culture exam. In this course, you’ll develop critical thinking and writing skills to compose essays in Chinese and read and participate in discussions about aspects of Chinese culture and society. In addition, you’ll use the Chinese language to communicate effectively in academic and everyday situations, engage in conversations, and participate in discussions with classmates.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Three or more years of Chinese language instruction and a satisfactory result on placement test",9-12,https://cty.jhu.edu//programs/online/courses/ap-chinese-language-and-culture-intensive--ncaa-approved-ipcl
12,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Chinese Language and Culture (NCAA Approved)
",,"Take on a college-level challenge as you cover topics typically found in a university course while preparing for the AP Chinese Language and Culture exam. In this course, you’ll develop critical thinking and writing skills to compose essays in Chinese and read and participate in discussions about aspects of Chinese culture and society. In addition, you’ll use the Chinese language to communicate effectively in school and real-life situations, engage in conversation, and participate in discussions with classmates.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"2,130",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Three or more years of Chinese language instruction and a satisfactory result on language placement test",9-12,https://cty.jhu.edu//programs/online/courses/ap-chinese-language-and-culture-ncaa-approved-apcl
13,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Computer Science A
",,"This course offers you a college-level challenge, covering material typically explored in a university course and preparing you for the AP Computer Science A exam. We’ll learn about procedural abstraction, data abstraction, object-oriented design, Java programming methodology, the use of algorithms and data structures, as well as arrays and strings, understanding existing code, and the use of standard Java class libraries.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,no,1399 - 1455,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Completion of Algebra I and high school Introductory Computer Science course or a placement test",9-12,https://cty.jhu.edu//programs/online/courses/ap-computer-science-a-acs
14,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Computer Science A (NCAA Approved)
",,"This course offers you a college-level challenge, covering material typically explored in a university course and preparing you for the AP Computer Science A exam. We’ll learn about procedural abstraction, data abstraction, object-oriented design, Java programming methodology, the use of algorithms and data structures, as well as arrays and strings, understanding existing code, and the use of standard Java class libraries.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"2,065",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Completion of Algebra I and high school Introductory Computer Science course or a placement test",9-12,https://cty.jhu.edu//programs/online/courses/ap-computer-science-a-ncaa-approved-apcs
15,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® English Language and Composition (Intensive, NCAA Approved)
",,"Learn to write college-level essays, expand your vocabulary, and prepare to take the Advanced Placement® Exam in English Language and Composition during this intensive 12-week course. We’ll study a variety of nonfiction texts to understand the interplay between author’s purpose, message, and audience expectations. You’ll also write your own arguments and research-based and rhetorical analysis essays while developing your skills at analyzing diction, syntax, persuasive appeals, methods of development, and more. After each essay, you will write a reflection explaining and evaluating your writing process. You’ll receive feedback from your instructor and often from your peers, revising your work along the way. You will also practice answering multiple-choice questions similar to those on past AP® exams, and develop strong essay test-taking skills like organization and time management. Through written collaboration with classmates from around the world, you’ll explore new perspectives and develop your own ideas. This writing course has been reviewed and approved by the College Board to use the AP® designation.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. ",9-12,https://cty.jhu.edu//programs/online/courses/ap-english-language-and-composition-intensive--ncaa-approved-ipwr
16,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® English Language and Composition (NCAA Approved)
",,"Learn to write college-level essays, expand your vocabulary, and prepare to take the Advanced Placement Exam in English Language and Composition during this 30-week course. We’ll study a variety of nonfiction texts to understand the interplay between author’s purpose, message, and audience expectations. Develop your skills at analyzing diction, syntax, persuasive appeals, methods of development, and more while writing your own persuasive, research-based and rhetorical analysis essays. After each essay, you’ll write a reflection explaining and evaluating your writing process. Your instructor and peers will provide feedback, and you’ll revise your work along the way. Exposure to multiple-choice questions similar to those on past AP exams will help you develop strong essay test-taking skills like annotation and time management. Through written collaboration with classmates from around the world, you’ll explore new perspectives and develop your own ideas. This writing course has been approved by the College Board® to use the AP designation.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"1,740",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. ",9-12,https://cty.jhu.edu//programs/online/courses/ap-english-language-and-composition-ncaa-approved-apwr
17,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Macroeconomics (Intensive, NCAA Approved)
",,"Delve into how the market system works, how prices are determined, why shortages and surpluses occur, and why incomes differ in this advanced course that successfully prepares you for the AP Macroeconomics exam.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Algebra II or equivalent",9-12,https://cty.jhu.edu//programs/online/courses/ap-macroeconomics-intensive--ncaa-approved-ipma
18,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Macroeconomics (NCAA Approved)
",,"Delve into how the market system works, how prices are determined, why shortages and surpluses occur, and why incomes differ in this advanced course that successfully prepares you for the AP Macroeconomics exam. We’ll cover relevant topics such as national income, price determination, economic performance measures, economic growth, and international economics through interactive online activities and synchronous virtual class meetings every other week. One-on-one virtual meetings directly with your instructor are also available for reviewing material.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"1,740",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Algebra II or equivalent",9-12,https://cty.jhu.edu//programs/online/courses/ap-macroeconomics-ncaa-approved-apma
19,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Microeconomics (Intensive, NCAA Approved)
",,"Begin analyzing the consumers and producers that make up the economy: households, firms, governments, and community organizations. With a particular emphasis on the function of consumers and producers within the economic system, you’ll explore the markets in which consumers and producers interact as well as non-market economics. ",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Algebra II or equivalent",9-12,https://cty.jhu.edu//programs/online/courses/ap-microeconomics-intensive--ncaa-approved-ipmi
20,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Microeconomics (NCAA Approved)
",,"Begin analyzing the consumers and producers that make up the economy: households, firms, governments, and community organizations. With a particular emphasis on the function of consumers and producers within the economic system, you’ll explore the markets in which consumers and producers interact as well as non-market economics. Synchronous virtual class meetings every other week and one-on-one review sessions you can schedule directly with your instructor will help prepare you for success on the AP Microeconomics exam.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"1,740",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Algebra II or equivalent",9-12,https://cty.jhu.edu//programs/online/courses/ap-microeconomics-ncaa-approved-apmi
21,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Physics 1 (Intensive, NCAA Approved)
",,"Explore the concepts and methods of physical analysis in AP Physics 1, with a particular focus on classical mechanics. You’ll build and understand the ability to reason qualitatively and quantitatively, with your instructor there as a resource. You’ll spend instructional time engaging with the textbook, online lectures, simulations, discussions, hands-on labs (constituting 25% of instructional time), problem-solving screencasts, homework problems, a final project, and tests/exams. This course has synchronous virtual class meetings and is equivalent to a first-semester college course in algebra-based physics. Because it’s so demanding and requires a substantial time commitment, this course should not be combined with other CTY courses during a session.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Trigonometry",9-12,https://cty.jhu.edu//programs/online/courses/ap-physics-1-intensive--ncaa-approved-iph1
22,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Physics 1 (NCAA Approved)
",,"Explore the concepts and methods of physical analysis in AP Physics 1, with a particular focus on classical mechanics. You’ll build and understand the ability to reason qualitatively and quantitatively, with your instructor there as a resource. You’ll spend instructional time engaging with the textbook, online lectures, simulations, discussions, hands-on labs (constituting 25% of instructional time), problem-solving screencasts, homework problems, a final project, and tests/exams. This course has synchronous virtual class meetings and is equivalent to a first-semester college course in algebra-based physics.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"1,810",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Trigonometry",9-12,https://cty.jhu.edu//programs/online/courses/ap-physics-1-ncaa-approved-aph1
23,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Physics 2 (Intensive, NCAA Approved)
",,"Explore the concepts and methods of physical analysis in AP Physics 2, with a particular focus on classical mechanics and simple electrical circuits. You’ll build and understand the ability to reason qualitatively and quantitatively, with your instructor there as a resource through one-on-one virtual meetings. You’ll spend instructional time engaging with the textbook, online lectures, simulations, discussions, hands-on labs (constituting 25% of instructional time), problem-solving screencasts, homework problems, and tests/exams.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Trigonometry and AP Physics I or AP Physics C",9-12,https://cty.jhu.edu//programs/online/courses/ap-physics-2-intensive--ncaa-approved-iph2
24,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Physics 2 (NCAA Approved)
",,"Continue exploring the concepts and methods of physical analysis beyond mechanics, including thermodynamics, fluid physics, geometric and physical optics, electricity, magnetism, and modern physics. You’ll build and understand the ability to reason qualitatively and quantitatively, with your instructor there as a resource through one-on-one virtual meetings. You’ll spend instructional time engaging with the textbook, online lectures, simulations, discussions, hands-on labs (constituting 25% of instructional time), problem-solving screencasts, homework problems, and tests/exams.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"1,810",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Trigonometry and AP Physics I or AP Physics C ",9-12,https://cty.jhu.edu//programs/online/courses/ap-physics-2-ncaa-approved-aph2
25,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Psychology (Intensive, NCAA Approved)
",,"Dive into the challenging material typically covered in a college-level introductory psychology course as you prepare for success on the AP Psychology exam. Through textbook readings, projects, and directed online activities that emphasize critical thinking and applications, you’ll explore psychology as the science of behavior and mental processes while covering topics such as historical perspectives, biological bases of behavior, consciousness, cognition, emotion, development, testing, and disorders. ",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of high school Biology or equivalent",9-12,https://cty.jhu.edu//programs/online/courses/ap-psychology-intensive--ncaa-approved-ipps
26,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Psychology (NCAA Approved)
",,"Dive into the challenging material typically covered in a college-level introductory psychology course as you prepare for success on the AP Psychology exam. Through textbook readings, projects, and directed online activities that emphasize critical thinking and applications, you’ll explore psychology as the science of behavior and mental processes while covering topics such as historical perspectives, biological bases of behavior, consciousness, cognition, emotion, development, testing, and disorders. This course has synchronous virtual class meetings every other week, and you can also schedule one-on-one virtual meetings directly with your instructor to review lessons.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"1,740",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of high school Biology or equivalent",9-12,https://cty.jhu.edu//programs/online/courses/ap-psychology-ncaa-approved-apps
27,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Spanish Language and Culture (Intensive, NCAA Approved)
",,"Take on a college-level challenge and learn topics typically found in a university course while preparing for the AP® Spanish Language and Culture exam. In this course, conducted entirely in Spanish, you’ll improve proficiency in listening, speaking, reading, and writing. You’ll develop critical thinking and writing skills while composing weekly essays and completing readings and lessons in Spanish. In addition, you’ll use the Spanish language to communicate effectively in school and real-life situations, and carry on conversations with classmates. During virtual class meetings, your instructor will guide you through lectures, readings, discussions, and other resources. You will also participate in one-on-one virtual meetings with your instructor and teaching assistant. This is a fast-paced course that condenses an entire year of AP Spanish into 12 weeks.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. At least three years of Spanish language instruction, and a satisfactory result on the CTY language placement test",9-12,https://cty.jhu.edu//programs/online/courses/ap-spanish-language-and-culture-intensive--ncaa-approved-ipsp
28,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Spanish Language and Culture (NCAA Approved)
",,"Take on a college-level challenge as you cover topics typically found in a university course while preparing for the AP Spanish Language and Culture exam. In this course, which is conducted in Spanish, you’ll improve your Spanish proficiency in listening, speaking, reading, and writing. You’ll develop critical thinking and writing skills needed to compose weekly essays and complete readings and lessons in Spanish. In addition, you’ll use the Spanish language to communicate effectively in school and real-life situations and carry on conversations and participate in discussions with classmates. ",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"2,130",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. At least three years of Spanish language instruction and a satisfactory result on placement test",9-12,https://cty.jhu.edu//programs/online/courses/ap-spanish-language-and-culture-ncaa-approved-apsp
29,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Spanish Literature and Culture (NCAA Approved)
",,"Study Spanish, Latin American, and U.S. Hispanic literature from the middle ages to the present day and develop your critical reading and analytical writing skills in Spanish as you prepare for the AP Spanish Literature and Culture exam. In this course, which is conducted entirely in Spanish, you’ll write essays, discuss literary texts and their varied contexts, and participate in class discussions to analyze works of poetry, prose, and drama. You’ll also analyze themes and works of varied artistic representations and complete a variety of oral and written activities and assignments. By the end of this course you will better understand the Spanish speaking world through the study of its culture as reflected in literary works. During virtual class meetings your instructor will guide you through lectures, readings, discussions, and other resources. You will also participate in one-on-one virtual meetings with your instructor and teaching assistant.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"2,130",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. At least three years of Spanish language instruction and a satisfactory result on placement test, or an AP Spanish Language and Culture exam score of 4 or 5",9-12,https://cty.jhu.edu//programs/online/courses/ap-spanish-literature-and-culture-ncaa-approved-apsl
30,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Statistics
",,"Delve into the discipline of data while also covering topics in probability, regression analysis, and sampling distributions. You’ll learn statistics through solving practice problems, consulting the textbook, watching demonstrative videos, and interacting with online resources in this intensive course that prepares you for success on the AP Statistics exam. Your instructor will be available for guidance as well as one-on-one review sessions to answer questions and discuss topics. Tests contain questions modeled after the AP Statistics exam. Additional graded homework, quizzes, and projects will keep you on your toes in this challenging but rewarding math course.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,no,1399 - 1455,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Algebra II or equivalent",9-12,https://cty.jhu.edu//programs/online/courses/ap-statistics-sta
31,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Statistics (NCAA Approved)
",,"Delve into the discipline of data while also covering topics in probability, regression analysis, and sampling distributions. You’ll learn statistics by solving practice problems, consulting the textbook, watching demonstrative videos, and interacting with online resources in this intensive course that prepares you for success on the AP Statistics exam. You’ll participate in class forums and synchronous virtual meetings, and your instructor will be available for guidance as well as one-on-one review sessions. Tests contain questions modeled after the AP Statistics exam, and additional graded homework and projects will keep you on your toes in this challenging but rewarding math course.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"2,065",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Algebra II or equivalent",9-12,https://cty.jhu.edu//programs/online/courses/ap-statistics-ncaa-approved-stay
